path,template
/sg/resources/reports/experience-essentials-data,Essential
/si/products/workfront/get-demo,Full
/si/resources/enterprise-project-management,Essential
/sk/products/workfront/get-demo,Full
/sk/resources/enterprise-project-management,Essential
/th_en/products/workfront/get-demo,Full
/th_en/resources/enterprise-project-management,Essential
/th_th/products/workfront/get-demo,Full
/th_th/resources/enterprise-project-management,Essential
/tr/products/workfront/get-demo,Full
/tr/resources/enterprise-project-management,Essential
/tw/products/workfront/get-demo,Full
/tw/resources/enterprise-project-management,Essential
/ua/products/workfront/get-demo,Full
/ua/resources/enterprise-project-management,Essential
/uk/products/workfront/get-demo,Full
/uk/resources/articles/agile-marketing-for-creative-teams,Essential
/uk/resources/articles/enterprise-resource-management-the-complete-guide-to-managing-talent-and-time,Essential
/uk/resources/articles/from-creative-services-to-in-house-agency,Essential
/uk/resources/articles/get-time-back-to-work-on-what-is-most-important,Essential
/uk/resources/articles/how-to-review-proofs-with-workfront-proofing,Essential
/uk/resources/articles/measure-and-analyzing-work,Essential
/uk/resources/articles/the-advanced-guide-to-agile-marketing,Essential
/uk/resources/articles/the-complete-guide-to-planning-creative-projects,Essential
/uk/resources/articles/the-complete-guide-to-resource-management-for-creative-teams,Essential
/uk/resources/articles/the-definitive-guide-to-online-proofing,Essential
/uk/resources/bringing-order-marketing-operations-processes,Essential
/uk/resources/complete-guide-work-management-marketers-game-changing-playbook-way-marketers-work,Essential
/uk/resources/ebooks/20-experts-share-secrets-for-balancing-agile-and-waterfall,Essential
/uk/resources/ebooks/3-strategies-to-plan-successful-marketing-projects,Essential
/uk/resources/ebooks/6-challenges-agencies-face-and-how-we-can-help-solve-them,Essential
/uk/resources/ebooks/agile-marketing-cheat-sheet,Essential
/uk/resources/ebooks/all-your-work-all-your-people-one-powerful-solution,Essential
/uk/resources/ebooks/bringing-efficiency-creative-process,Essential
/uk/resources/ebooks/bringing-order-marketing-operations-processes,Essential
/uk/resources/ebooks/how-to-document-your-content-marketing-workflow,Essential
/uk/resources/ebooks/solving-7-marketing-project-management-challenges,Essential
/uk/resources/ebooks/surpass-competition-financial-services-complete-and-seamless-collaboration,Essential
/uk/resources/ebooks/technology-trio-for-better-faster-content-wkft,Essential
/uk/resources/ebooks/the-complete-guide-to-agile-marketing,Essential
/uk/resources/ebooks/workfront-prove-value-inhouse-creative-team,Essential
/uk/resources/enterprise-project-management,Essential
/uk/resources/guides/complete-guide-work-management-marketers-game-changing-playbook-way-marketers-work,Essential
/uk/resources/guides/less-searching-for-assets-more-personalized-content-wkft,Essential
/uk/resources/guides/marketers-guide-moving-agility,Essential
/uk/resources/guides/solve-the-pain-of-mixing-agile-and-waterfall,Essential
/uk/resources/guides/why-workfront,Essential
/uk/resources/guides/work-management-marketers-asset-management,Essential
/uk/resources/guides/work-management-marketers-digital-content-creation,Essential
/uk/resources/guides/work-management-marketers-lifecycle-marketing-work,Essential
/uk/resources/guides/work-management-marketers-performance-optimisation,Essential
/uk/resources/guides/work-management-marketers-strategic-planning,Essential
/uk/resources/guides/workfront-adobe-creative-cloud,Essential
/uk/resources/guides/your-guide-to-keeping-the-content-supply-chain-flowing-wkft,Essential
/uk/resources/infographics/7-stages-marketing-work-lifecycle,Essential
/uk/resources/podcasts/what-is-content-supply-chain-wkft,Essential
/uk/resources/reports/adobe-workfront-solves-critical-business-challenges,Essential
/uk/resources/reports/building-the-future-of-flexible-work-management,Essential
/uk/resources/reports/enable-growth-let-content-flow-wkft,Essential
/uk/resources/reports/future-creative-experiences,Essential
/uk/resources/reports/making-work-management-work-well,Essential
/uk/resources/reports/state-of-work,Essential
/uk/resources/reports/state-of-work-2023,Essential
/uk/resources/reports/tomorrows-cmo,Essential
/uk/resources/reports/work-management-marketers-executive-brief,Essential
/uk/resources/reports/workfront-fusion-datasheet,Essential
/uk/resources/reports/workfront-tei-report,Essential
/uk/resources/state-of-work,Essential
/uk/resources/surpass-competition-financial-services,Essential
/uk/resources/tomorrows-cmo-marketings-generation-change,Essential
/uk/resources/videos/workfront-scenario-planner-overview-video,Essential
/uk/resources/webinars/4-project-management-best-practices-disney-uses-create-magic,Essential
/uk/resources/webinars/4-ways-get-started-agile-marketing,Essential
/uk/resources/webinars/marketing-project-management-101,Essential
/vn_en/products/workfront/get-demo,Full
/vn_en/resources/enterprise-project-management,Essential
/vn_en/resources/reports/state-of-work,Essential
/vn_vi/products/workfront/get-demo,Full
/vn_vi/resources/enterprise-project-management,Essential
/vn_vi/resources/reports/state-of-work,Essential
